create_date,title,writer,views,like,dislike
2022.08.19 10:09,흐름상 [1],msps****,347,2,3
2022.08.19 10:05,옛날,hjmh****,249,1,0
2022.08.19 09:43,500원대 까지~~ㅋㅋㅋ,soon****,338,2,1
2022.08.19 09:39,판타는...,hera****,306,4,0
2022.08.19 09:17,감사합니다!!,hera****,262,2,1
2022.08.19 09:11,도덕성이,mase****,256,1,0
2022.08.19 09:02,잘하네 개미님들 받아주지않아야합니다 ㅋㅋ... [2],kms-****,324,1,0
2022.08.19 08:42,받아주면 강성주주들도죽고 신규개미들도죽는...,kms-****,228,5,0
2022.08.19 08:30,추매가 답이다라고 하는 하와 걸뱅이만 보... [2],kms-****,278,5,1
2022.08.19 03:50,역외 환율 시장 [2],hawa****,508,3,8
2022.08.18 22:10,내일도 안팔흑우 ?짹? <( ^)? [1],shee****,180,1,4
2022.08.18 19:33,추매가 답이다 [10],hawa****,1068,4,10
2022.08.18 18:57,판피쓰는 있다ㅡㅡㅡㅡㅡㅡㅡㅡㅡ!!!! [1],shee****,153,1,4
2022.08.18 16:56,스파이는? [1],fj******,284,4,1
2022.08.18 15:22,하와 [2],roke****,345,2,2
2022.08.18 15:22,최소거래량 [1],anys****,277,1,1
2022.08.18 14:11,"환율 1,320원 [4]",hawa****,484,7,6
2022.08.18 12:00,[삭제된 게시물의 답글]오늘은 계단식 상...,knr9****,132,1,1
2022.08.18 11:25,계단식,roke****,213,3,2
2022.08.18 08:43,거래량없는 주식은 매수금지,kms-****,274,4,1
2022.08.17 19:04,블랙록(BlackRock) [10],hawa****,664,13,8
2022.08.17 17:27,댓글 알바들 보거라... [2],fj******,350,2,2
2022.08.17 17:18,좀일이 아조씨이 <( <)~ [2],shee****,155,2,5
2022.08.17 16:51,쌍방울 뉴스,anys****,222,4,1
2022.08.17 15:37,아릭도 못판 아조씨는 9워ㄹ엔 나올꺼야-... [2],shee****,218,1,6
2022.08.17 12:01,담대한 구상 [6],hawa****,510,8,9
2022.08.17 11:52,"판타,미래,동반 하락~ㅎㅎ",soon****,222,2,1
2022.08.17 10:07,머니투데이 김건우 기자 ㅋㅋㅋ [4],kms-****,423,3,3
2022.08.17 10:06,찌라시 올라왔다,kms-****,287,4,1
2022.08.17 09:58,오늘은 미사리 출동 ㅋㅋㅋ 매수금지 하세...,kms-****,237,4,1
2022.08.17 09:53,신규 개미님들 매수금지 하세여,kms-****,236,5,1
2022.08.17 09:47,무조건 매수금지 ㅋㅋㅋ,kms-****,234,5,1
2022.08.17 09:33,팡타 [1],kj******,270,7,1
2022.08.17 09:26,지기글 올리고 지우는 사람들 알바들 [1],anys****,246,1,0
2022.08.17 05:59,해결방법은 단하나..?,ch01****,286,2,0
2022.08.17 05:47,여기애 알바는 ?따...~ [2],shee****,302,2,6
2022.08.16 21:27,판타지오 사채꾼 ㅅ ㅜ ㅔ ㅋ1들 보거라...,fj******,232,6,0
2022.08.16 18:40,씨익씨익 ㅈㅌ파워 파랗봉이에여?? [6],shee****,232,2,4
2022.08.16 16:45,국정감사 [8],hawa****,605,12,9
2022.08.16 15:57,하와 사채꾼 알바냐? [1],phil****,303,6,0
2022.08.16 15:30,전환가액조정 총정리(수정본) [3],hawa****,495,9,3
2022.08.16 15:33,전환가액조정 총정리(수정본) [1],kj******,229,4,2
2022.08.16 14:09,오백초반 오고있넹~ㅎㅎ,soon****,208,3,1
2022.08.16 10:45,이 회시는,mase****,257,6,0
2022.08.16 09:31,꼴랑,maen****,266,2,0
2022.08.16 07:53,튀,shee****,309,3,4
2022.08.15 20:00,(광복절특집) 전환가액 조정 총정리 [9],hawa****,683,20,3
2022.08.15 18:57,아직도 안산흑우 없??<( ^)?,shee****,226,2,4
2022.08.15 07:54,요즈음 [1],maen****,422,4,0
2022.08.14 16:51,전환가액 조정. [3],roke****,583,9,1
2022.08.14 14:15,내일 쉬는날이야?? [1],hulk****,346,4,5
2022.08.13 12:46,상투지비 솔찍히 말하샘~... [3],shee****,273,2,2
2022.08.13 09:19,아직도 안산흑우 ?짹<( ^)?,shee****,339,3,2
2022.08.12 23:25,[삭제된 게시물의 답글]두둥~~ [1],kj******,176,1,1
2022.08.12 20:14,액분 [4],shee****,244,1,4
2022.08.12 19:12,'산타클로스' 인수 초록뱀-버킷스튜디오 ...,fj******,270,5,0
2022.08.12 19:05,고용지표가 오른다: [3],shee****,194,1,3
2022.08.12 18:37,민원 넣을때 금감원에 정보제공 안한다 하... [1],hulk****,227,5,2
2022.08.12 17:55,헉 +,maen****,190,3,0
2022.08.12 17:40,금감원 민원넣고 왔다,hulk****,211,5,2
2022.08.12 15:23,발행주식수 [13],hawa****,759,8,9
2022.08.12 13:42,미끼 ~투어 ~?,soon****,215,2,1
2022.08.11 23:25,"ㅇㅁㅈ , ㅇㅍ , ㄱㄱ [2]",shee****,243,1,6
2022.08.11 21:50,미국 PPI(생산자물가지수) 9.8% 발...,fj******,171,3,1
2022.08.11 19:23,"아직도 어두 운밤,",soon****,127,1,1
2022.08.11 18:43,닐 카시카리 [4],hawa****,450,9,7
2022.08.11 14:46,보합간다 [3],shee****,240,1,5
2022.08.11 11:01,다시 6백원대로,sunh****,246,1,3
2022.08.11 10:01,곧 [2],maen****,325,2,0
2022.08.11 09:59,물려도 구월엔 나올꺼다 [3],shee****,323,1,5
2022.08.11 09:08,호가창보니 대단하네 ㅋㅋㅋ [2],kms-****,363,5,1
2022.08.10 23:27,7월 CPI [6],hawa****,460,4,10
2022.08.10 21:55,나비 아 조 씨 ☆용전☆ [5],shee****,135,1,2
2022.08.10 21:49,미국 7월 소비자물가지수(CPI) 8.5... [2],fj******,177,3,1
2022.08.10 18:38,인콘3 [11],hawa****,604,12,9
2022.08.10 17:26,알바는 이안에 잇숴__!![두둥] [3],shee****,229,2,4
2022.08.10 15:06,"몇주 사놨는데,,",soon****,183,1,1
2022.08.10 13:54,도덕성이,mase****,222,4,0
2022.08.10 17:57,[삭제된 게시물의 답글]감사보고서 나오고...,knr9****,98,1,0
2022.08.10 13:27,상장폐지는,seh3****,207,2,1
2022.08.10 12:57,아직 모르능군아? <( ^) [2],shee****,265,2,5
2022.08.10 10:12,증권의 발행및공시에 관한규정 제5~23조... [2],kj******,542,1,1
2022.08.10 12:12,[삭제된 게시물의 답글]작년에 발행된 사...,kj******,142,1,0
2022.08.10 09:00,절대 매수금지 신규 개미들,kms-****,268,3,2
2022.08.10 09:00,금감원,kj******,299,6,0
2022.08.10 08:47,거래정지 조심들하세요,kms-****,292,5,3
2022.08.10 06:24,궁금한거,ddd4****,292,2,4
2022.08.09 20:34,듣보잡지도못한 ㅋㅋㅋ 찌라시 하나 쳐 올...,kms-****,295,4,1
2022.08.09 19:21,안토니우 구테흐스 [7],hawa****,511,9,9
2022.08.09 16:51,Zom일이 아죠죠씨 <( ^)~ [9],shee****,222,1,4
2022.08.09 15:11,오늘은 쳐올리지도 않는구나 조막손 ㅋㅋㅋ [3],kms-****,279,4,3
2022.08.09 15:06,매수호가창에 물량 없다 ㅋㅋㅋ [2],kms-****,252,1,3
2022.08.09 14:59,그것이 바로 종달새 존재이유__!! [3],shee****,186,2,6
2022.08.09 14:50,장 막판에 기존 개미들에게 뭔가를 보여주... [1],kms-****,160,2,5
2022.08.09 14:48,회사직원들 ㅋㅋㅋ [1],kms-****,182,3,2
2022.08.09 14:33,신규 개미들은 여기 촉수금지,kms-****,131,2,2
2022.08.09 14:31,내 백프로 손목아지건다,kms-****,136,1,2
2022.08.09 14:28,판타는 백윤식 차은우,kms-****,143,1,2
2022.08.09 14:21,거래정지 ^&^ [1],kms-****,190,3,0
2022.08.09 13:34,금융감독원 공시조사팀 [1],kj******,293,13,1
2022.08.09 13:50,금융감독원 공시조사팀,kj******,190,10,0
2022.08.09 11:04,평단가 1350 [1],anys****,245,7,0
2022.08.08 19:30,"빵식이, 앓던 이를 빼다. [8]",hawa****,709,7,3
2022.08.08 19:02,풉??-!! [3],shee****,181,2,5
2022.08.08 17:54,6회차,rcwb****,201,1,0
2022.08.08 17:33,Bullish Dragonfly Doji [4],hawa****,459,8,3
2022.08.08 15:29,오늘 저?은 ~... [1],shee****,201,1,4
2022.08.08 13:12,비,kj******,176,1,0
2022.08.08 10:16,회사관계자야 [1],kms-****,283,1,4
2022.08.08 09:34,파랭이 확정,dokk****,196,1,2
2022.08.08 08:21,돔황챠-------------------... [2],shee****,260,1,7
2022.08.08 00:35,대표야 [2],ms50****,410,5,1
2022.08.07 23:37,(일요단상) 신인호 [5],hawa****,483,7,5
2022.08.07 04:48,대표야 일단 이스타 부터 묵자,ms50****,336,4,2
2022.08.06 22:01,"(토요단상) 소설 ""미중전쟁"" [9]",hawa****,604,13,3
2022.08.06 20:45,음~... [3],shee****,270,1,3
2022.08.06 17:09,"아어?지 조이ㅅㅌ 궁둥이가 무겁더니만, [3]",shee****,326,2,3
2022.08.05 19:32,나으 살던 고향은~... 쫑피는 판꼬올-... [8],shee****,410,2,5
2022.08.05 16:14,건진법사 [3],hawa****,801,18,10
2022.08.05 15:17,아 팔았더니 ㅜㅜ [5],ma******,457,2,1
2022.08.05 14:58,"다음주 육천원대, ~?",soon****,252,1,2
2022.08.05 15:05,"다음주 육천원대, ~?",leej****,184,2,0
2022.08.05 13:25,아직 손절안한 흑우 ?짹? ( ^)>,shee****,224,1,9
2022.08.05 11:42,대표야 미끼를 던졌으면,ms50****,277,4,1
2022.08.05 11:27,지켜. 보세요,sayc****,244,1,6
2022.08.05 11:14,반년 넘게 물려있다가 못견디고 오늘 손절...,ddim****,256,10,0
2022.08.05 11:02,미친듯이 사들여라 [2],ms50****,317,2,2
2022.08.05 09:47,짜고치는,mase****,260,4,1
2022.08.05 09:24,동전주 호가창보면 ㅋㅋ,kms-****,252,1,1
2022.08.05 09:05,받아주지마 [1],hi******,284,3,0
2022.08.05 09:01,8-23상장되는데 팔아먹으려면 올리겠지 [1],neoa****,326,3,1
2022.08.05 08:58,받아줄 개미들이 없으면 괜찮다 ㅋㅋㅋ,kms-****,254,3,0
2022.08.05 08:54,코센 CB전환가 조정 관련기사 [1],canx****,347,5,0
2022.08.05 08:53,물이나또 쉬원하게타야하겟네,jsk6****,195,1,0
2022.08.05 08:25,해결방법 간단하다..,ch01****,258,1,0
2022.08.04 23:45,지나가다가 ㅋㅋㅋ [3],kms-****,356,7,0
2022.08.04 22:11,자본시장 특별사법경찰 [11],hawa****,773,14,6
2022.08.04 20:25,팡타 [3],kj******,419,6,1
2022.08.04 19:30,하와님 글 좀 올려주세요 [10],gks8****,480,5,2
2022.08.04 17:26,삥뽕_! [1],shee****,238,1,4
2022.08.04 15:30,싸다고 산 흑우 ?째? <( ^) [2],shee****,330,1,8
2022.08.04 12:38,출발~~~~ [1],sayc****,325,1,4
2022.08.04 12:04,대표야 머하냐 [5],ms50****,342,5,1
2022.08.04 11:55,오늘,forp****,203,1,2
2022.08.04 11:34,매일. 똑. 같네,sayc****,191,1,2
2022.08.04 08:38,892는 올까?,shee****,179,0,4
2022.08.04 08:17,관종에서 벗어나??,alon****,149,0,1
2022.08.04 06:01,곧,maen****,156,0,1
2022.08.04 02:46,대표야 [1],ms50****,255,2,3
2022.08.03 20:21,920은 온다! [6],shee****,379,0,4
2022.08.03 20:07,복합 십자형 [10],hawa****,593,12,4
2022.08.03 15:45,팡타 [2],kj******,277,1,4
2022.08.03 14:48,올. 10프로 이상간다 [1],sayc****,312,1,2
2022.08.03 14:27,매수 하여라,sayc****,197,2,2
2022.08.03 14:18,아직도 안파능 흑우 ?짹? [7],shee****,290,0,6
2022.08.03 14:02,슈팅 갑니다 [1],sayc****,222,4,2
2022.08.03 13:59,팡타,kj******,126,0,2
2022.08.03 12:03,가두리 매수 중.. [2],ch01****,294,2,3
2022.08.03 10:52,누가,alon****,147,0,2
2022.08.03 10:09,780원짜리 꼴랑 150만원 세워두고 막...,casp****,151,0,1
2022.08.02 23:17,대표야 [1],ms50****,183,2,2
2022.08.03 08:46,대표야 [2],kj******,128,2,2
2022.08.02 19:22,좀일이 아조씨 ☆전용☆ [3],shee****,209,1,7
2022.08.02 17:29,거래량과 체결강도 [10],hawa****,721,15,5
2022.08.02 16:46,후아 3개월 묶엿다가 20퍼 수익으로 빠...,sv******,183,3,1
2022.08.02 16:14,1년 물려있다가 익절 털고 나갑니다,men1****,192,3,1
2022.08.02 16:08,호재 VS 차트,fj******,263,2,0
2022.08.02 15:50,팡타,kj******,156,0,2
2022.08.02 13:49,느키미 안좋아.... [2],zom1****,253,2,3
2022.08.02 13:41,"판타이의 레이스는 끝낫을지 모르지만, [3]",shee****,249,1,6
2022.08.02 12:44,후회. 하지말고,sayc****,200,1,2
2022.08.02 12:42,아직도 [2],shee****,261,0,10
2022.08.02 12:04,어제.,sayc****,152,0,3
2022.08.02 11:31,올.,sayc****,139,0,2
2022.08.02 11:06,자. 간다~~~~,sayc****,160,0,2
2022.08.02 10:05,뉴스에 팔아라 모르니 ㅋㅋㅋ [1],kms-****,324,2,8
2022.08.02 09:57,팡타 [2],kj******,318,3,4
2022.08.02 09:51,관종해제 공시나오기전까진 홀딩,happ****,231,3,2
2022.08.02 09:46,준비성 좋네,rcwb****,200,2,2
2022.08.02 09:40,평단 1300 [1],shsm****,266,1,2
2022.08.02 07:35,털 만큼은 털었는데,qudw****,207,1,4
2022.08.01 22:46,관리종목 지정사유 해제 [6],hawa****,843,16,6
2022.08.01 18:45,892는 올까? [1],shee****,215,2,6
2022.08.01 18:32,광복절 [11],hawa****,464,10,2
2022.08.01 17:30,하와님 [2],kj******,411,4,3
2022.08.01 17:18,전환사채 [1],kj******,261,5,5
2022.08.01 16:42,벨트 단디 메야될각...,men1****,214,4,1
2022.08.01 15:35,헐,roke****,205,1,2
2022.08.01 15:34,평단 852 구해주냐?,j778****,192,1,2
2022.08.01 15:32,팡타 [1],kj******,235,1,3
2022.08.01 14:49,나비아조씨 ☆전용☆ [2],shee****,211,0,6
2022.08.01 14:37,판타지오 이제 오를 일만^^,core****,240,5,2
2022.08.01 09:19,787은 온다! [1],shee****,267,0,7
2022.08.01 01:49,대표야 머하냐 쩐의 전쟁에서 살아 남을려... [3],ms50****,323,4,2
2022.07.31 19:42,가숴 종달석 변호새를 찾아가믄돼 ~(~_... [3],shee****,192,1,4
2022.07.31 12:41,태풍오능데 재주도 간 흑우 ?짹<( ^)... [2],shee****,252,0,5
2022.07.31 03:02,종진아 영진아 머하냐,ms50****,351,2,2
2022.07.30 16:10,아 춥다 ~... [1],shee****,377,1,6
2022.07.29 16:31,함정(trap) [11],hawa****,926,10,6
2022.07.29 14:59,관종 다음 상폐 아닌가요~~~ [2],dokk****,532,3,8
2022.07.29 14:54,나능 판타지욕을 지키능 영물이라눼~... [9],shee****,387,1,7
2022.07.29 12:03,보통 [1],rkwk****,317,3,1
2022.07.29 11:09,대표야,ms50****,215,2,4
2022.07.29 09:16,모두. 물타기 하세요,sayc****,196,2,5
2022.07.28 20:51,920찍고 기강 잡는다 <( ^)* [2],shee****,188,0,5
2022.07.28 18:32,벙그니 [4],hawa****,472,12,4
2022.07.28 15:44,진심으로 [4],hase****,336,3,2
2022.07.28 15:23,물타기 [1],wodu****,153,0,4
2022.07.28 14:18,평균매입가 [3],anys****,356,3,2
2022.07.28 13:54,좀일이 아조씨 !*( ^)> [6],shee****,224,0,4
2022.07.28 12:30,오늘도~~~~^^,leej****,197,2,1
2022.07.28 11:44,대표야 머하냐 [5],ms50****,269,3,3
2022.07.27 20:31,판린이 구출작전-!! [4],shee****,290,0,6
2022.07.27 20:26,"3.300,000만원 짜리가...",men1****,222,3,1
2022.07.27 18:51,호시우행(虎視牛行) [5],hawa****,582,12,5
2022.07.27 16:50,787은 온다! [1],shee****,231,1,5
2022.07.27 14:19,팔아버린 흑우 있능가? [3],shee****,245,0,4
2022.07.27 12:42,대표야 머하냐 [6],ms50****,307,4,4
2022.07.27 08:24,지금부터 내가 하는 말 잘들어!! [3],shee****,352,1,10
2022.07.26 19:41,인싱망한것 가트면 종달과상투를 보라_ [7],shee****,304,0,8
2022.07.26 16:54,판타지오의 미래 [6],hawa****,721,11,8
2022.07.26 19:33,추가 공시 [1],hawa****,413,7,2
2022.07.26 13:47,아직도 못판 흑우 있는가? [4],shee****,243,0,10
2022.07.26 09:41,여긴 아직도 게시판에 [6],kms-****,380,4,8
2022.07.25 20:31,나능!! 판린이 해방전선 쫑대장 종코너-... [2],shee****,185,2,5
2022.07.25 19:02,669는 올까? [2],shee****,208,0,4
2022.07.25 15:07,920원 [1],seh3****,331,2,1
2022.07.25 14:15,인콘 [4],hawa****,589,9,3
2022.07.25 13:58,아?도 안판흑우 ?짹? <( ^)? [1],shee****,153,0,5
2022.07.25 11:40,인콘 날아가는디 [1],anys****,254,1,3
2022.07.25 09:35,전사채 [2],kj******,317,0,5
2022.07.24 13:43,대표야 긴급주총 바로 하고 [3],ms50****,378,5,3
2022.07.24 00:05,300만원되면 감자,sung****,244,0,2
2022.07.23 14:07,상투르 ☆전용☆ [7],shee****,341,1,3
2022.07.22 18:25,안오릉당 [3],shee****,247,1,6
2022.07.22 11:01,킁가항방옹다-! [1],shee****,151,1,4
2022.07.22 10:45,대표야 아직도 모르겠나 [1],ms50****,212,4,2
2022.07.21 20:27,응? 9라반등에 다들 속아서는~... [3],shee****,272,0,6
2022.07.21 17:52,환율이 답이다 [4],hawa****,463,9,8
2022.07.21 16:47,평단 852 [2],j778****,241,0,0
2022.07.21 16:44,시외가 이상하네 [2],ndon****,207,0,0
2022.07.21 14:03,708은 올까? [4],shee****,251,0,4
2022.07.21 12:46,대표야 빠르게 움직여라 [3],ms50****,220,2,2
2022.07.21 05:50,큰거 한방온다? [3],shee****,358,1,4
2022.07.20 21:17,60일 이동평균선 [4],hawa****,534,11,6
2022.07.20 14:59,종가 괄리_,shee****,164,1,2
2022.07.20 13:27,큰거 한방온다!,shee****,208,3,2
2022.07.20 13:00,대표야 아직도 내말 이해 못했나 [1],ms50****,184,3,1
2022.07.20 11:52,드라마 블라인드 망하면,qudw****,192,1,2
2022.07.19 22:32,긴장들 안하지? [1],shee****,195,1,4
2022.07.19 19:47,거래량과 차트,msps****,146,3,3
2022.07.19 19:30,개좝주 손절!!! [3],shee****,188,0,4
2022.07.19 19:26,거래대금 [2],hawa****,366,13,6
2022.07.19 14:13,곧 상폐아닌가?ㅋㅋ [2],requ****,246,3,4
2022.07.19 11:54,대형주,capd****,162,1,0
2022.07.19 09:41,팡타 [3],kj******,296,0,3
2022.07.19 16:30,팡타 [1],kj******,87,0,0
2022.07.19 09:33,대표야 머하니,ms50****,163,3,1
2022.07.18 20:44,옐런 효과 [6],hawa****,441,8,7
2022.07.18 14:03,"이놈은뭐해.서결이빨던가,좀올라라",yh******,157,1,2
2022.07.18 10:27,팡타 [2],kj******,283,0,0
2022.07.17 21:33,[한상춘의 국제경제 읽기] [3],hawa****,419,7,3
2022.07.15 19:06,으웨아에엥 하루죙일 쓸거?만하누~... [2],shee****,173,1,6
2022.07.15 18:26,새출발기금 [8],hawa****,453,14,7
2022.07.15 08:29,허여라 오늘이다 [2],shee****,246,0,4
2022.07.15 00:04,Cpi ppi 아작났는데 잘버티네 [3],zom1****,351,1,1
2022.07.14 14:37,계단참(階段站) [3],hawa****,410,8,6
2022.07.14 12:21,관리종목 ?? [2],hih1****,331,1,1
2022.07.14 11:37,대표야 아직도 모르겠나 [2],ms50****,225,3,1
2022.07.13 22:21,소비자물가지수(CPI) 9.1% [5],hawa****,426,11,5
2022.07.13 19:18,네 다음 꼰데 드루오새여 ~... <( ... [5],shee****,198,0,5
2022.07.13 18:04,이창용 모두발언의 행간 [4],hawa****,358,10,5
